0, 2, 4
 0, 2, 5
 0, 2, 6
 0, 2, 7
 0, 2, 8
 0, 2, 11
 0, 2, 13
 0, 2, 15
 0, 2, 18
 0, 4, 2
 0, 4, 5
 0, 4, 6
 0, 4, 7
 0, 4, 8
 0, 4, 11
 0, 4, 13
 0, 4, 15
 0, 4, 18
 0, 5, 2
 0, 5, 4
 0, 5, 15
 0, 6, 2
 0, 6, 4
 0, 6, 7
 0, 6, 8
 0, 6, 11
 0, 6, 13
 0, 6, 15
 0, 6, 18
 0, 7, 2
 0, 7, 4
 0, 7, 6
 0, 7, 15
 0, 8, 2
 0, 8, 4
 0, 8, 6
 0, 11, 2
 0, 11, 4
 0, 11, 6
 0, 13, 2
 0, 13, 4
 0, 13, 6
 0, 13, 18
 0, 15, 2
 0, 15, 4
 0, 15, 5
 0, 15, 6
 0, 15, 7
 0, 15, 18
 0, 18, 2
 0, 18, 4
 0, 18, 6
 0, 18, 13
 0, 18, 15
 1, 2, 4
 1, 2, 6
 1, 2, 8
 1, 2, 13
 1, 2, 17
 1, 2, 19
 1, 4, 2
 1, 4, 6
 1, 4, 8
 1, 4, 13
 1, 4, 17
 1, 4, 19
 1, 6, 2
 1, 6, 4
 1, 6, 8
 1, 6, 13
 1, 6, 17
 1, 6, 19
 1, 8, 2
 1, 8, 4
 1, 8, 6
 1, 8, 17
 1, 13, 2
 1, 13, 4
 1, 13, 6
 1, 13, 19
 1, 17, 2
 1, 17, 4
 1, 17, 6
 1, 17, 8
 1, 17, 19
 1, 19, 2
 1, 19, 4
 1, 19, 6
 1, 19, 13
 1, 19, 17
 2, 4, 5
 2, 4, 6
 2, 4, 7
 2, 4, 8
 2, 4, 11
 2, 4, 13
 2, 4, 15
 2, 4, 17
 2, 4, 18
 2, 4, 19
 2, 4, 20
 2, 4, 21
 2, 5, 4
 2, 5, 15
 2, 5, 17
 2, 6, 4
 2, 6, 7
 2, 6, 8
 2, 6, 11
 2, 6, 13
 2, 6, 15
 2, 6, 17
 2, 6, 18
 2, 6, 19
 2, 6, 20
 2, 6, 21
 2, 7, 4
 2, 7, 6
 2, 7, 15
 2, 7, 17
 2, 8, 4
 2, 8, 6
 2, 8, 17
 2, 11, 4
 2, 11, 6
 2, 11, 17
 2, 13, 4
 2, 13, 6
 2, 13, 18
 2, 13, 19
 2, 13, 21
 2, 15, 4
 2, 15, 5
 2, 15, 6
 2, 15, 7
 2, 15, 17
 2, 15, 18
 2, 17, 4
 2, 17, 5
 2, 17, 6
 2, 17, 7
 2, 17, 8
 2, 17, 11
 2, 17, 15
 2, 17, 19
 2, 17, 20
 2, 17, 21
 2, 18, 4
 2, 18, 6
 2, 18, 13
 2, 18, 15
 2, 18, 19
 2, 18, 20
 2, 18, 21
 2, 19, 4
 2, 19, 6
 2, 19, 13
 2, 19, 17
 2, 19, 18
 2, 20, 4
 2, 20, 6
 2, 20, 17
 2, 20, 18
 2, 21, 4
 2, 21, 6
 2, 21, 13
 2, 21, 17
 2, 21, 18
 3, 5, 15
 3, 5, 16
 3, 5, 17
 3, 7, 15
 3, 7, 16
 3, 7, 17
 3, 8, 16
 3, 8, 17
 3, 11, 16
 3, 11, 17
 3, 13, 18
 3, 13, 19
 3, 15, 5
 3, 15, 7
 3, 15, 16
 3, 15, 17
 3, 15, 18
 3, 16, 5
 3, 16, 7
 3, 16, 8
 3, 16, 11
 3, 16, 15
 3, 17, 5
 3, 17, 7
 3, 17, 8
 3, 17, 11
 3, 17, 15
 3, 17, 19
 3, 18, 13
 3, 18, 15
 3, 18, 19
 3, 19, 13
 3, 19, 17
 3, 19, 18
 4, 5, 15
 4, 5, 17
 4, 6, 7
 4, 6, 8
 4, 6, 11
 4, 6, 13
 4, 6, 15
 4, 6, 17
 4, 6, 18
 4, 6, 19
 4, 6, 20
 4, 6, 21
 4, 7, 6
 4, 7, 15
 4, 7, 17
 4, 8, 6
 4, 8, 17
 4, 11, 6
 4, 11, 17
 4, 13, 6
 4, 13, 18
 4, 13, 19
 4, 13, 21
 4, 15, 5
 4, 15, 6
 4, 15, 7
 4, 15, 17
 4, 15, 18
 4, 17, 5
 4, 17, 6
 4, 17, 7
 4, 17, 8
 4, 17, 11
 4, 17, 15
 4, 17, 19
 4, 17, 20
 4, 17, 21
 4, 18, 6
 4, 18, 13
 4, 18, 15
 4, 18, 19
 4, 18, 20
 4, 18, 21
 4, 19, 6
 4, 19, 13
 4, 19, 17
 4, 19, 18
 4, 20, 6
 4, 20, 17
 4, 20, 18
 4, 21, 6
 4, 21, 13
 4, 21, 17
 4, 21, 18
 5, 14, 16
 5, 14, 17
 5, 15, 16
 5, 15, 17
 5, 16, 14
 5, 16, 15
 5, 17, 14
 5, 17, 15
 6, 7, 15
 6, 7, 17
 6, 8, 17
 6, 11, 17
 6, 13, 18
 6, 13, 19
 6, 13, 21
 6, 15, 7
 6, 15, 17
 6, 15, 18
 6, 17, 7
 6, 17, 8
 6, 17, 11
 6, 17, 15
 6, 17, 19
 6, 17, 20
 6, 17, 21
 6, 18, 13
 6, 18, 15
 6, 18, 19
 6, 18, 20
 6, 18, 21
 6, 19, 13
 6, 19, 17
 6, 19, 18
 6, 20, 17
 6, 20, 18
 6, 21, 13
 6, 21, 17
 6, 21, 18
 7, 14, 16
 7, 14, 17
 7, 15, 16
 7, 15, 17
 7, 16, 14
 7, 16, 15
 7, 17, 14
 7, 17, 15
 8, 14, 16
 8, 14, 17
 8, 16, 14
 8, 17, 14
 9, 18, 19
 9, 18, 20
 9, 18, 21
 9, 19, 18
 9, 20, 18
 9, 21, 18
 12, 14, 16
 12, 14, 17
 12, 16, 14
 12, 17, 14
 13, 18, 19
 13, 18, 21
 13, 19, 18
 13, 21, 18
 17, 20, 22
 17, 20, 23
 17, 21, 22
 17, 21, 23
 17, 22, 20
 17, 22, 21
 17, 23, 20
 17, 23, 21
 18, 20, 22
 18, 20, 23
 18, 21, 22
 18, 21, 23
 18, 22, 20
 18, 22, 21
 18, 23, 20
 18, 23, 21
